"Country or Area","Year","Value"
"European Union","2007","525152.369307378"
"European Union","2006","533854.366849018"
"European Union","2005","546372.780918094"
"European Union","2004","558072.236219373"
"European Union","2003","575652.26467164"
"European Union","2002","583879.907435949"
"European Union","2001","595314.222988129"
"European Union","2000","606071.424918847"
"European Union","1999","628325.210557217"
"European Union","1998","640348.360646324"
"European Union","1997","655916.7111608"
"European Union","1996","662074.466621128"
"European Union","1995","665787.590819555"
"European Union","1994","667016.316275429"
"European Union","1993","683170.564868288"
"European Union","1992","692025.167017793"
"European Union","1991","707433.056370436"
"European Union","1990","728946.902680259"
"Finland","2018","4540.85381826855"
"Finland","2017","4605.27993628939"
"Finland","2016","4728.33886112971"
"Finland","2015","4856.61586514544"
"Finland","2014","4892.21142857024"
"Finland","2013","4989.55525170007"
"Finland","2012","5128.18719720049"
"Finland","2011","5183.20223690598"
"Finland","2010","5354.96151637226"
"Finland","2009","5296.73772348168"
"Finland","2008","5363.35600134229"
"Finland","2007","5506.2552893975"
"Finland","2006","5638.58619450218"
"Finland","2005","5564.71212927783"
"Finland","2004","5813.20662254428"
"Finland","2003","5997.03090196298"
"Finland","2002","6202.63556945383"
"Finland","2001","6426.32880719919"
"Finland","2000","6561.35054329927"
"Finland","1999","6819.20975458963"
"Finland","1998","6992.46878993425"
"Finland","1997","7258.96642476746"
"Finland","1996","7341.61716890124"
"Finland","1995","7420.02852335277"
"Finland","1994","7627.47645963882"
"Finland","1993","7657.23306121059"
"Finland","1992","7617.08157458807"
"Finland","1991","7666.5243209185"
"Finland","1990","7684.61673511004"
"France","2018","56500.0042130455"
"France","2017","57378.9808161261"
"France","2016","57747.1651920453"
"France","2015","58308.5202559314"
"France","2014","58986.9666830915"
"France","2013","59160.6978385419"
"France","2012","59676.2080274809"
"France","2011","61006.3716059739"
"France","2010","62197.3556019275"
"France","2009","62456.8204297153"
"France","2008","63548.038638541"
"France","2007","63494.3560965277"
"France","2006","63920.0744017582"
"France","2005","64652.8087989371"
"France","2004","65747.9452376338"
"France","2003","67232.1202846535"
"France","2002","68315.5934521517"
"France","2001","70014.9344206451"
"France","2000","70147.7211782341"
"France","1999","69778.2236737266"
"France","1998","69720.8442767991"
"France","1997","69606.8178382926"
"France","1996","70710.2232247212"
"France","1995","71487.8894419139"
